Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day,BR,HZ,RA,TSRA,VCTS,FU,TS,DZ,BCFG,FG+,MIFG,FG,SQ,SN,VCFG,GR,Date
71.5,50.0,61.0,2.0,43.0,51.0,4.0,0.0,0 days 04:36:00.000000000,0 days 19:00:00.000000000,0.0,29.36,30.035,11.5,19.5,12.850000000000001,2007,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-11
64.5,46.5,55.5,-1.0,36.5,46.0,9.5,0.0,0 days 04:35:00.000000000,0 days 19:01:00.000000000,0.0,29.515,30.195,12.55,2.0,12.95,2007,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-12
69.0,43.5,56.5,-1.0,32.5,46.0,8.5,0.0,0 days 04:34:00.000000000,0 days 19:02:00.000000000,0.0,29.52,30.24,6.5,12.5,7.85,2007,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-13
90.0,55.0,72.5,7.5,46.0,58.5,0.0,7.5,0 days 04:33:00.000000000,0 days 19:03:00.000000000,0.0,29.27,29.975,15.5,21.0,15.95,2007,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-14
81.0,56.5,69.0,5.5,56.0,61.0,0.0,4.0,0 days 04:32:00.000000000,0 days 19:04:00.000000000,0.49,29.16,29.835,8.1,26.0,11.55,2007,5,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-15
65.0,44.5,55.0,-2.0,42.5,47.5,10.0,0.0,0 days 04:31:00.000000000,0 days 19:05:00.000000000,0.10500000000000001,29.36,30.03,7.9,36.0,12.0,2007,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-16
61.5,43.5,53.0,-3.0,32.0,43.0,12.0,0.0,0 days 04:30:00.000000000,0 days 19:06:00.000000000,0.0,29.585,30.27,11.1,2.0,11.75,2007,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-17
70.5,42.5,57.0,-1.5,30.5,46.5,8.0,0.0,0 days 04:29:00.000000000,0 days 19:07:00.000000000,0.0,29.565,30.255000000000003,4.4,23.5,6.5,2007,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-18
80.0,56.0,68.0,4.0,38.0,53.0,0.0,3.0,0 days 04:28:00.000000000,0 days 19:08:00.000000000,0.0,29.375,30.08,11.1,23.5,11.4,2007,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-19
69.0,43.5,56.5,-2.5,40.5,44.5,8.5,0.0,0 days 04:27:00.000000000,0 days 19:09:00.000000000,0.09,29.41,30.11,9.5,3.5,10.2,2007,5,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2007-05-20
79.5,45.0,62.5,0.5,50.0,56.5,2.5,0.0,0 days 04:26:00.000000000,0 days 19:10:00.000000000,0.0,29.36,30.055,6.3,10.5,8.0,2007,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-21
87.0,57.5,72.5,5.0,45.0,58.0,0.0,7.5,0 days 04:25:00.000000000,0 days 19:11:00.000000000,0.0,29.375,30.055,10.05,17.0,10.399999999999999,2007,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-22
89.0,63.0,76.5,7.0,48.5,61.0,0.0,11.5,0 days 04:25:00.000000000,0 days 19:12:00.000000000,0.0,29.43,30.1,11.15,18.5,11.5,2007,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-23
88.0,64.5,76.5,7.0,53.5,63.0,0.0,11.5,0 days 04:24:00.000000000,0 days 19:13:00.000000000,0.0125,29.439999999999998,30.105,14.350000000000001,20.5,16.25,2007,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-24
68.0,56.5,62.5,0.5,45.0,53.0,2.5,0.0,0 days 04:23:00.000000000,0 days 19:14:00.000000000,0.0475,29.54,30.235,4.7,5.0,8.5,2007,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-25
67.5,49.5,58.5,-2.5,55.0,56.5,6.5,0.0,0 days 04:22:00.000000000,0 days 19:15:00.000000000,0.645,29.39,30.105,2.65,16.0,7.5,2007,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-26
75.0,58.0,66.5,2.0,48.0,56.5,0.0,1.5,0 days 04:22:00.000000000,0 days 19:16:00.000000000,0.06,29.375,30.055,8.55,25.0,9.35,2007,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-27
77.5,52.0,65.0,1.0,48.0,56.5,0.0,0.0,0 days 04:21:00.000000000,0 days 19:16:00.000000000,0.0025,29.46,30.145,4.75,9.0,5.25,2007,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-28
88.0,62.5,75.5,5.0,58.5,65.5,0.0,10.5,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0.0,29.415,30.1,5.8,17.0,6.95,2007,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-29
88.0,68.0,78.5,6.5,57.5,65.5,0.0,13.5,0 days 04:20:00.000000000,0 days 19:18:00.000000000,0.0,29.345,30.035,10.0,18.0,10.35,2007,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-30
79.0,66.5,73.0,4.0,61.0,65.5,0.0,8.0,0 days 04:20:00.000000000,0 days 19:19:00.000000000,0.27,29.310000000000002,29.994999999999997,9.100000000000001,18.5,9.55,2007,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-31
85.5,64.5,75.5,5.0,63.0,66.5,0.0,10.5,0 days 04:19:00.000000000,0 days 19:20:00.000000000,0.2,29.22,29.905,4.45,16.5,6.1,2007,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-01
81.0,66.5,74.0,4.5,62.5,67.0,0.0,9.0,0 days 04:19:00.000000000,0 days 19:20:00.000000000,0.0225,29.065,29.765,7.0,21.5,7.8,2007,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-02
77.5,63.0,70.5,3.0,60.0,63.5,0.0,5.5,0 days 04:18:00.000000000,0 days 19:21:00.000000000,0.165,28.845,29.549999999999997,5.050000000000001,24.5,6.95,2007,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-03
71.5,57.0,64.5,0.5,57.5,60.0,0.5,0.0,0 days 04:18:00.000000000,0 days 19:22:00.000000000,0.35,28.85,29.515,7.85,30.5,9.899999999999999,2007,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-04
63.5,49.0,56.5,-4.5,47.5,51.5,8.5,0.0,0 days 04:17:00.000000000,0 days 19:23:00.000000000,0.345,29.130000000000003,29.785,5.7,4.0,7.85,2007,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-05
72.0,46.0,59.5,-4.0,47.5,55.0,5.5,0.0,0 days 04:17:00.000000000,0 days 19:23:00.000000000,0.0075,29.1,29.814999999999998,10.2,16.0,11.0,2007,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-06
91.5,71.0,81.5,7.5,61.5,68.5,0.0,16.5,0 days 04:17:00.000000000,0 days 19:24:00.000000000,0.0,28.875,29.55,21.5,19.5,21.9,2007,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-07
81.0,60.0,70.5,1.5,53.5,61.5,0.0,5.5,0 days 04:17:00.000000000,0 days 19:25:00.000000000,0.0,29.21,29.84,10.100000000000001,27.0,13.100000000000001,2007,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-08
79.0,54.5,67.0,0.0,48.0,57.5,0.0,2.0,0 days 04:16:00.000000000,0 days 19:25:00.000000000,0.0,29.39,30.060000000000002,1.3499999999999999,26.0,4.85,2007,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-09
81.0,58.0,69.5,0.5,50.5,59.5,0.0,4.5,0 days 04:16:00.000000000,0 days 19:26:00.000000000,0.0,29.365000000000002,30.045,4.699999999999999,16.5,5.699999999999999,2007,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-10
85.5,61.5,73.5,2.5,51.5,61.0,0.0,8.5,0 days 04:16:00.000000000,0 days 19:26:00.000000000,0.0,29.439999999999998,30.1,5.75,10.0,7.65,2007,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-11
82.5,64.0,73.5,2.5,50.5,60.5,0.0,8.5,0 days 04:16:00.000000000,0 days 19:27:00.000000000,0.0,29.465,30.15,8.850000000000001,5.0,9.4,2007,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-12
86.5,64.0,75.5,3.0,53.0,62.0,0.0,10.5,0 days 04:16:00.000000000,0 days 19:27:00.000000000,0.0,29.302319972826098,29.687187255397873,7.1,5.0,4.3,2007,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-13
89.0,66.0,78.0,4.5,54.5,63.5,0.0,13.0,0 days 04:16:00.000000000,0 days 19:28:00.000000000,0.0,29.33,30.009999999999998,5.75,6.0,6.6,2007,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-14
90.0,65.0,77.5,4.5,56.0,64.5,0.0,12.5,0 days 04:16:00.000000000,0 days 19:28:00.000000000,0.0,29.310000000000002,29.979999999999997,3.9499999999999997,7.5,4.5,2007,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-15
92.5,67.0,80.0,5.5,60.5,67.5,0.0,15.0,0 days 04:16:00.000000000,0 days 19:29:00.000000000,0.005,29.295,29.965,3.45,25.0,5.949999999999999,2007,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-16
91.0,70.5,81.0,6.0,64.5,70.0,0.0,16.0,0 days 04:16:00.000000000,0 days 19:29:00.000000000,0.08,29.255000000000003,29.939999999999998,3.4,11.0,6.199999999999999,2007,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-17
89.0,71.0,80.0,4.5,65.0,70.0,0.0,15.0,0 days 04:16:00.000000000,0 days 19:29:00.000000000,0.15000000000000002,29.155,29.835,13.1,20.0,13.85,2007,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-18
80.5,65.0,73.0,1.5,55.0,63.0,0.0,8.0,0 days 04:16:00.000000000,0 days 19:30:00.000000000,0.755,29.285,29.939999999999998,10.399999999999999,28.5,11.350000000000001,2007,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-19
84.5,61.5,73.5,1.5,51.0,61.0,0.0,8.5,0 days 04:16:00.000000000,0 days 19:30:00.000000000,0.0,29.425,30.095,6.85,27.5,8.25,2007,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-20
78.5,63.5,71.0,-0.5,51.0,60.5,0.0,6.0,0 days 04:16:00.000000000,0 days 19:30:00.000000000,0.0075,29.384999999999998,30.07,3.6,2.5,10.149999999999999,2007,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-21
75.5,61.5,69.0,-0.5,49.5,58.0,0.0,4.0,0 days 04:17:00.000000000,0 days 19:31:00.000000000,0.005,29.36,30.055,7.15,6.5,8.399999999999999,2007,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-22
67.5,61.5,65.0,-2.5,59.0,61.5,0.0,0.0,0 days 04:17:00.000000000,0 days 19:31:00.000000000,0.195,29.255000000000003,29.955,7.449999999999999,11.5,8.55,2007,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-23
76.0,64.0,70.0,-0.5,62.0,65.0,0.0,5.0,0 days 04:17:00.000000000,0 days 19:31:00.000000000,0.0,29.295,29.965,6.3,9.5,7.0,2007,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-24
87.5,66.0,77.0,3.0,66.5,70.0,0.0,12.0,0 days 04:17:00.000000000,0 days 19:31:00.000000000,0.0,29.41,30.064999999999998,3.95,13.0,6.35,2007,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-25
91.5,71.5,81.5,5.0,69.0,72.0,0.0,16.5,0 days 04:18:00.000000000,0 days 19:31:00.000000000,0.0825,29.42,30.1,6.699999999999999,21.5,7.6,2007,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-26
90.0,71.0,80.5,5.0,69.5,72.0,0.0,15.5,0 days 04:18:00.000000000,0 days 19:31:00.000000000,0.25,29.325,30.009999999999998,7.7,24.0,8.65,2007,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-27
73.5,59.5,66.5,-2.5,55.5,60.5,0.0,1.5,0 days 04:19:00.000000000,0 days 19:31:00.000000000,0.0,29.42,30.08,12.05,2.5,12.9,2007,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-28
70.5,56.0,63.5,-4.0,55.5,59.5,1.5,0.0,0 days 04:19:00.000000000,0 days 19:31:00.000000000,0.0,29.439999999999998,30.119999999999997,7.5,2.0,8.25,2007,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-29
78.0,56.0,67.5,-2.5,47.5,57.0,0.0,2.5,0 days 04:19:00.000000000,0 days 19:31:00.000000000,0.0,29.435000000000002,30.119999999999997,5.0,3.5,6.0,2007,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-30
75.5,57.5,67.0,-3.5,51.5,58.5,0.0,2.0,0 days 04:20:00.000000000,0 days 19:31:00.000000000,0.0,29.535,30.22,9.05,4.0,9.149999999999999,2007,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-01
78.0,55.5,67.0,-3.0,50.0,58.5,0.0,2.0,0 days 04:20:00.000000000,0 days 19:31:00.000000000,0.0,29.52,30.215,6.65,13.0,8.3,2007,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-02
83.0,61.5,72.5,0.0,56.5,63.0,0.0,7.5,0 days 04:21:00.000000000,0 days 19:31:00.000000000,0.245,29.345,30.055,6.550000000000001,21.0,7.35,2007,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-03
85.0,67.0,76.5,2.5,65.0,69.0,0.0,11.5,0 days 04:22:00.000000000,0 days 19:30:00.000000000,0.41000000000000003,29.205,29.89,3.8499999999999996,26.0,8.5,2007,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2007-07-04
88.5,70.5,79.5,4.0,60.0,67.0,0.0,14.5,0 days 04:22:00.000000000,0 days 19:30:00.000000000,0.0,29.265,29.93,5.35,32.0,7.5,2007,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-05
85.0,67.0,76.0,2.0,57.0,64.5,0.0,11.0,0 days 04:23:00.000000000,0 days 19:30:00.000000000,0.0,29.35,30.020000000000003,3.25,6.0,5.5,2007,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-06
89.0,66.0,77.5,2.5,62.5,68.5,0.0,12.5,0 days 04:23:00.000000000,0 days 19:30:00.000000000,0.0,29.21,29.905,7.9,22.5,8.35,2007,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-07
93.5,75.0,84.5,6.0,67.0,72.0,0.0,19.5,0 days 04:24:00.000000000,0 days 19:29:00.000000000,0.0,29.085,29.765,12.75,23.5,12.899999999999999,2007,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-08
93.5,71.0,82.5,4.5,66.5,70.5,0.0,17.5,0 days 04:25:00.000000000,0 days 19:29:00.000000000,0.27,29.134999999999998,29.795,4.85,23.5,8.8,2007,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-09
89.0,69.5,79.5,3.0,67.0,70.5,0.0,14.5,0 days 04:25:00.000000000,0 days 19:29:00.000000000,0.255,29.095,29.765,8.399999999999999,23.0,10.35,2007,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-10
77.0,62.5,70.0,-1.5,51.0,59.0,0.0,5.0,0 days 04:26:00.000000000,0 days 19:28:00.000000000,0.0,29.255000000000003,29.925,8.95,30.0,11.05,2007,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-11
80.0,60.5,70.5,-1.0,51.0,59.5,0.0,5.5,0 days 04:27:00.000000000,0 days 19:28:00.000000000,0.0,29.25,29.925,9.7,28.5,11.25,2007,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-12
76.0,58.5,67.5,-2.5,52.5,58.5,0.0,2.5,0 days 04:28:00.000000000,0 days 19:27:00.000000000,0.0,29.295,29.98,1.7,4.0,5.55,2007,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-13
84.5,61.5,73.5,0.0,55.0,62.0,0.0,8.5,0 days 04:28:00.000000000,0 days 19:27:00.000000000,0.0,29.11,29.79,8.350000000000001,25.5,13.55,2007,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-14
81.0,62.0,71.5,-1.5,52.5,61.0,0.0,6.5,0 days 04:29:00.000000000,0 days 19:26:00.000000000,0.0,29.22,29.884999999999998,1.65,19.0,5.7,2007,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-15
82.0,65.5,74.0,0.0,60.0,65.0,0.0,9.0,0 days 04:30:00.000000000,0 days 19:25:00.000000000,0.23,29.28,29.950000000000003,5.0,23.5,5.9,2007,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-16
83.0,68.5,76.0,1.0,65.5,69.0,0.0,11.0,0 days 04:31:00.000000000,0 days 19:25:00.000000000,0.11,29.21,29.895,5.75,23.0,6.95,2007,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-17
85.0,69.0,77.0,1.5,68.5,71.0,0.0,12.0,0 days 04:32:00.000000000,0 days 19:24:00.000000000,1.235,29.145,29.835,9.7,24.0,10.35,2007,7,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2007-07-18
82.5,63.0,73.0,-0.5,62.5,66.0,0.0,8.0,0 days 04:33:00.000000000,0 days 19:23:00.000000000,0.085,29.235,29.89,7.35,18.5,13.15,2007,7,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007-07-19
74.5,60.0,67.5,-3.5,52.5,59.0,0.0,2.5,0 days 04:33:00.000000000,0 days 19:23:00.000000000,0.0,29.465,30.130000000000003,9.95,3.5,10.3,2007,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-20
74.5,58.0,66.5,-4.0,52.0,58.5,0.0,1.5,0 days 04:34:00.000000000,0 days 19:22:00.000000000,0.0,29.54,30.215,6.15,3.5,7.4,2007,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-21
81.0,59.5,70.5,-2.0,54.5,61.0,0.0,5.5,0 days 04:35:00.000000000,0 days 19:21:00.000000000,0.0,29.515,30.205,1.7999999999999998,17.0,3.4,2007,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-22
82.5,61.5,72.5,-1.0,55.0,63.0,0.0,7.5,0 days 04:36:00.000000000,0 days 19:20:00.000000000,0.0,29.395000000000003,30.095,3.05,10.5,3.95,2007,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-23
82.0,65.0,74.0,0.0,57.5,64.0,0.0,9.0,0 days 04:37:00.000000000,0 days 19:19:00.000000000,0.0025,29.35,30.035,2.1,20.5,5.050000000000001,2007,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-24
84.0,70.5,77.5,2.0,60.5,66.5,0.0,12.5,0 days 04:38:00.000000000,0 days 19:18:00.000000000,0.0025,29.32,29.994999999999997,6.1,24.0,6.8,2007,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-25
83.5,65.0,74.5,0.5,65.0,68.0,0.0,9.5,0 days 04:39:00.000000000,0 days 19:18:00.000000000,0.54,29.22,29.915,7.2,22.0,9.65,2007,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-26
83.0,70.0,77.0,1.5,67.5,70.0,0.0,12.0,0 days 04:40:00.000000000,0 days 19:17:00.000000000,0.10500000000000001,29.134999999999998,29.810000000000002,2.1,19.5,8.0,2007,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-27
80.0,68.0,74.0,-0.5,65.0,68.0,0.0,9.0,0 days 04:41:00.000000000,0 days 19:16:00.000000000,0.0,29.255000000000003,29.92,10.3,3.0,10.45,2007,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-28
85.0,65.0,75.0,0.0,56.5,64.0,0.0,10.0,0 days 04:42:00.000000000,0 days 19:15:00.000000000,0.0,29.310000000000002,29.979999999999997,5.55,5.0,6.300000000000001,2007,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-29
87.5,63.5,76.0,1.0,56.0,64.5,0.0,11.0,0 days 04:43:00.000000000,0 days 19:14:00.000000000,0.0,29.36,30.020000000000003,3.45,6.0,4.449999999999999,2007,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-30
90.0,68.5,79.5,3.0,60.5,68.0,0.0,14.5,0 days 04:44:00.000000000,0 days 19:13:00.000000000,0.0,29.36,30.03,3.65,5.5,4.95,2007,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-31
91.5,69.0,80.5,4.0,62.5,69.5,0.0,15.5,0 days 04:45:00.000000000,0 days 19:11:00.000000000,0.0,29.314999999999998,29.990000000000002,2.8,11.0,3.9,2007,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-08-01
91.0,71.5,81.5,4.0,66.0,71.5,0.0,16.5,0 days 04:46:00.000000000,0 days 19:10:00.000000000,0.0,29.285,29.96,6.0,24.5,6.550000000000001,2007,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-08-02
89.0,71.0,80.5,3.5,57.0,66.5,0.0,15.5,0 days 04:47:00.000000000,0 days 19:09:00.000000000,0.0,29.335,30.009999999999998,3.0,4.5,5.75,2007,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-08-03
81.0,66.0,74.0,0.0,58.0,64.5,0.0,9.0,0 days 04:48:00.000000000,0 days 19:08:00.000000000,0.025,29.335,30.020000000000003,5.800000000000001,8.5,6.35,2007,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-08-04
88.0,67.5,78.0,2.5,71.0,72.5,0.0,13.0,0 days 04:49:00.000000000,0 days 19:07:00.000000000,1.2,29.115,29.799999999999997,6.2,21.5,9.899999999999999,2007,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-08-05
86.5,74.5,80.5,4.0,72.0,74.0,0.0,15.5,0 days 04:50:00.000000000,0 days 19:06:00.000000000,0.155,29.15,29.82,2.1,10.0,4.75,2007,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-08-06
91.5,72.5,82.5,4.5,73.0,76.0,0.0,17.5,0 days 04:51:00.000000000,0 days 19:04:00.000000000,0.685,29.085,29.75,6.25,24.5,8.9,2007,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-08-07
87.0,73.5,80.5,3.5,71.5,73.5,0.0,15.5,0 days 04:52:00.000000000,0 days 19:03:00.000000000,0.075,29.155,29.82,2.25,3.5,6.65,2007,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-08-08
84.5,72.5,78.5,2.5,71.0,73.0,0.0,13.5,0 days 04:53:00.000000000,0 days 19:02:00.000000000,0.255,29.16,29.83,2.8,28.0,6.15,2007,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-08-09
86.0,71.5,79.0,2.5,68.5,72.0,0.0,14.0,0 days 04:54:00.000000000,0 days 19:00:00.000000000,0.0,29.29,29.950000000000003,3.75,4.0,5.65,2007,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-08-10
